Date,month,year,Local Site Name,County,mean_latitude,mean_longitude,Ozone,PM 2.5
2024-01-10,1,2024,West Johnston Co.,Johnston,35.59095,-78.4622,,16.0
2024-01-11,1,2024,Bryson City,Swain,35.434767,-83.442133,,32.0
2024-01-11,1,2024,Castle Hayne,New Hanover,34.364167,-77.838611,,29.5
2024-01-11,1,2024,Clemmons Middle,Forsyth,36.026612,-80.341962,,37.0
2024-01-11,1,2024,Durham Armory,Durham,36.0329550008979,-78.904037,,58.0
2024-01-11,1,2024,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,28.0,45.0
2024-01-11,1,2024,Hattie Avenue,Forsyth,36.11094,-80.224501,,49.0
2024-01-11,1,2024,Leggett,Edgecombe,35.988278,-77.5843,,33.0
2024-01-11,1,2024,Mendenhall School,Guilford,36.1090060008986,-79.802314,,46.0
2024-01-11,1,2024,Millbrook School,Wake,35.856111,-78.574167,23.0,54.0
2024-01-11,1,2024,Old High School,Swain,35.498711,-83.310242,,12.0
2024-01-11,1,2024,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,,30.0
2024-01-11,1,2024,Rockwell,Rowan,35.551868,-80.395039,,58.0
2024-01-11,1,2024,West Johnston Co.,Johnston,35.59095,-78.4622,,37.0
2024-01-12,1,2024,Bryson City,Swain,35.434767,-83.442133,,33.0
2024-01-12,1,2024,Castle Hayne,New Hanover,34.364167,-77.838611,,42.0
2024-01-12,1,2024,Clemmons Middle,Forsyth,36.026612,-80.341962,,53.0
2024-01-12,1,2024,Durham Armory,Durham,36.0329550008979,-78.904037,,58.0
2024-01-12,1,2024,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,29.0,52.0
2024-01-12,1,2024,Hattie Avenue,Forsyth,36.11094,-80.224501,,49.0
2024-01-12,1,2024,Leggett,Edgecombe,35.988278,-77.5843,,45.0
2024-01-12,1,2024,Mendenhall School,Guilford,36.1090060008986,-79.802314,,55.0
2024-01-12,1,2024,Millbrook School,Wake,35.856111,-78.574167,34.0,57.0
2024-01-12,1,2024,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,,40.0
2024-01-12,1,2024,Rockwell,Rowan,35.551868,-80.395039,31.0,55.0
2024-01-12,1,2024,West Johnston Co.,Johnston,35.59095,-78.4622,,44.0
2024-01-13,1,2024,Bryson City,Swain,35.434767,-83.442133,,13.0
2024-01-13,1,2024,Castle Hayne,New Hanover,34.364167,-77.838611,,29.0
2024-01-13,1,2024,Clemmons Middle,Forsyth,36.026612,-80.341962,,23.0
2024-01-13,1,2024,Durham Armory,Durham,36.0329550008979,-78.904037,,44.0
2024-01-13,1,2024,Frying Pan Mountain,Haywood,35.379167,-82.7925,,6.0
2024-01-13,1,2024,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,31.0,28.0
2024-01-13,1,2024,Hattie Avenue,Forsyth,36.11094,-80.224501,,24.0
2024-01-13,1,2024,Leggett,Edgecombe,35.988278,-77.5843,,0.0
2024-01-13,1,2024,Linville Falls,Avery,35.972347,-81.933072,,11.0
2024-01-13,1,2024,Mendenhall School,Guilford,36.1090060008986,-79.802314,,22.0
